iteration_id,feature_name,feature_importance,explained_variance,feature_importance_rank
57,num__TransactionsDeb_CA,0.12328430265188217,0.12328431010246277,9
57,num__TransactionsDebCash_Card,0.03916331008076668,0.039163313806056976,6
57,num__TransactionsDebCashless_Card,0.06183876842260361,0.061838772147893906,24
57,num__TransactionsDeb_PaymentOrder,0.0,0.0,10
57,num__Count_CA,0.0,0.0,12
57,num__Count_SA,0.0,0.0,3
57,num__Count_MF,0.05006210878491402,0.050062112510204315,8
57,num__Count_OVD,0.03651544824242592,0.03651545196771622,18
57,num__Count_CC,0.0,0.0,28
57,num__Count_CL,0.0,0.0,27
57,num__ActBal_SA,0.050823140889406204,0.0508231446146965,20
57,num__ActBal_MF,0.0,0.0,16
57,num__ActBal_OVD,0.0,0.0,22
57,num__ActBal_CC,0.04390554875135422,0.043905552476644516,23
57,num__ActBal_CL,0.0,0.0,15
57,num__Age,0.052939265966415405,0.052939269691705704,25
57,num__Tenure,0.03329440951347351,0.03329441323876381,19
57,cat__Sex_M,0.03445419296622276,0.03445419669151306,14
46,num__VolumeCred,0.03325920179486275,0.03325920179486275,22
46,num__VolumeCred_CA,0.04848158359527588,0.04848158359527588,21
46,num__TransactionsCred,0.024100197479128838,0.024100197479128838,13
46,num__TransactionsCred_CA,0.04023358225822449,0.04023358225822449,26
46,num__VolumeDeb,0.04770336300134659,0.04770336300134659,2
46,num__VolumeDeb_CA,0.03676673769950867,0.03676673769950867,5
46,num__VolumeDebCash_Card,0.046105168759822845,0.046105168759822845,7
46,num__VolumeDebCashless_Card,0.044335126876831055,0.044335126876831055,17
46,num__VolumeDeb_PaymentOrder,0.041459765285253525,0.041459765285253525,8
46,num__TransactionsDeb,0.03758833929896355,0.03758833929896355,11
46,num__TransactionsDeb_CA,0.04272927716374397,0.04272927716374397,24
46,num__TransactionsDebCash_Card,0.0363142192363739,0.0363142192363739,18
46,num__TransactionsDebCashless_Card,0.052251752465963364,0.052251752465963364,9
46,num__TransactionsDeb_PaymentOrder,0.041176147758960724,0.041176147758960724,14
46,num__Count_CA,0.02574896067380905,0.02574896067380905,28
46,num__Count_SA,0.026651009917259216,0.026651009917259216,4
46,num__Count_MF,0.045214708894491196,0.045214708894491196,10
46,num__Count_OVD,0.041659656912088394,0.041659656912088394,6
46,num__Count_CC,0.0,0.0,12
46,num__Count_CL,0.0,0.0,27
46,num__ActBal_SA,0.0538143590092659,0.0538143590092659,1
46,num__ActBal_MF,0.06673962622880936,0.06673962622880936,16
46,num__ActBal_OVD,0.0,0.0,15
46,num__ActBal_CC,0.041991934180259705,0.041991934180259705,3
46,num__ActBal_CL,0.0,0.0,19
46,num__Age,0.04893543943762779,0.04893543943762779,20
46,num__Tenure,0.03562825545668602,0.03562825545668602,23
46,cat__Sex_M,0.04111168161034584,0.04111168161034584,25
54,num__VolumeCred,0.04290183261036873,0.04290183261036873,18
54,num__VolumeCred_CA,0.03288546949625015,0.03288546949625015,6
54,num__TransactionsCred,0.05309957265853882,0.05309957265853882,4
54,num__TransactionsCred_CA,0.06252270936965942,0.06252270936965942,8
54,num__VolumeDeb,0.04111378639936447,0.04111378639936447,3
54,num__VolumeDeb_CA,0.07047031819820404,0.07047031819820404,22
54,num__VolumeDebCash_Card,0.04456770792603493,0.04456770792603493,7
54,num__VolumeDebCashless_Card,0.05591730773448944,0.05591730773448944,21
54,num__VolumeDeb_PaymentOrder,0.033361803740262985,0.033361803740262985,17
54,num__TransactionsDeb,0.03840236738324165,0.03840236738324165,1
54,num__TransactionsDeb_CA,0.03022046759724617,0.03022046759724617,24
54,num__TransactionsDebCash_Card,0.033854275941848755,0.033854275941848755,13
54,num__TransactionsDebCashless_Card,0.04237150400876999,0.04237150400876999,5
54,num__TransactionsDeb_PaymentOrder,0.0,0.0,26
54,num__Count_CA,0.02876749075949192,0.02876749075949192,10
54,num__Count_SA,0.022166086360812187,0.022166086360812187,23
54,num__Count_MF,0.04339003935456276,0.04339003935456276,27
54,num__Count_OVD,0.07741256058216095,0.07741256058216095,12
54,num__Count_CC,0.0,0.0,9
54,num__Count_CL,0.0,0.0,2
54,num__ActBal_SA,0.04348247870802879,0.04348247870802879,11
54,num__ActBal_MF,0.04801959544420242,0.04801959544420242,15
54,num__ActBal_OVD,0.03683162108063698,0.03683162108063698,16
54,num__ActBal_CC,0.04248085618019104,0.04248085618019104,25
54,num__ActBal_CL,0.0,0.0,14
54,num__Age,0.040528640151023865,0.040528640151023865,19
54,num__Tenure,0.035231489688158035,0.035231489688158035,20
54,cat__Sex_M,0.0,0.0,28
55,num__VolumeCred,0.03917447477579117,0.03917447850108147,11
55,num__VolumeCred_CA,0.041162628680467606,0.041162632405757904,14
55,num__TransactionsCred,0.04284078627824783,0.04284079000353813,10
55,num__TransactionsCred_CA,0.04890519008040428,0.04890519380569458,18
55,num__VolumeDeb,0.047472354024648666,0.047472357749938965,26
55,num__VolumeDeb_CA,0.04441925510764122,0.04441925883293152,4
55,num__VolumeDebCash_Card,0.04413476213812828,0.04413476586341858,21
55,num__VolumeDebCashless_Card,0.04307660833001137,0.043076612055301666,5
55,num__VolumeDeb_PaymentOrder,0.03308824449777603,0.03308824822306633,13
55,num__TransactionsDeb,0.05942431464791298,0.05942431837320328,17
55,num__TransactionsDeb_CA,0.06562299281358719,0.06562300026416779,6
55,num__TransactionsDebCash_Card,0.03240492567420006,0.032404929399490356,7
55,num__TransactionsDebCashless_Card,0.046527277678251266,0.046527281403541565,8
55,num__TransactionsDeb_PaymentOrder,0.06073423847556114,0.06073424220085144,3
55,num__Count_CA,0.0,0.0,24
55,num__Count_SA,0.0,0.0,2
55,num__Count_MF,0.045300960540771484,0.04530096426606178,27
55,num__Count_OVD,0.05607506260275841,0.056075066328048706,20
55,num__Count_CC,0.0,0.0,1
55,num__Count_CL,0.04050237312912941,0.04050237685441971,9
55,num__ActBal_SA,0.04825350642204285,0.048253510147333145,12
55,num__ActBal_MF,0.027697265148162842,0.02769726701080799,22
55,num__ActBal_OVD,0.0,0.0,16
55,num__ActBal_CC,0.041768599301576614,0.04176860302686691,15
55,num__ActBal_CL,0.0,0.0,23
55,num__Age,0.050365760922431946,0.050365764647722244,25
55,num__Tenure,0.04104840010404587,0.041048403829336166,19
55,cat__Sex_M,0.0,0.0,28
45,num__VolumeCred,0.0547063834965229,0.054706376045942307,11
45,num__VolumeCred_CA,0.04401879757642746,0.04401879385113716,10
